model_name,timestamp,latency_ms,input_tokens,output_tokens,cost,arena_score,context_window,is_cloud
gpt-4o-mini,2025-04-30T11:08:37.559536,12634.799718856812,128,500,0.00031919999999999995,1274,128000,True
gpt-4o-mini,2025-04-30T11:09:21.314012,11924.065589904785,128,500,0.00031919999999999995,1274,128000,True
gpt-4o-mini,2025-04-30T11:10:35.860052,14543.681383132935,128,500,0.00031919999999999995,1274,128000,True
gpt-4o-mini,2025-04-30T11:11:48.489415,12610.554456710815,128,500,0.00031919999999999995,1274,128000,True
gpt-4o-mini,2025-04-30T11:13:00.787611,12280.293226242065,128,500,0.00031919999999999995,1274,128000,True
gpt-4o-mini,2025-04-30T11:21:42.836406+00:00,10472.334384918213,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:22:53.291254+00:00,10438.527345657349,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:24:03.219763+00:00,9913.782358169556,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:25:13.130298+00:00,9906.652450561523,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:26:27.299375+00:00,14145.878553390503,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:27:38.585044+00:00,11270.467758178711,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:28:48.760615+00:00,10161.02123260498,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:29:04.605619+00:00,8997.59292602539,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:30:15.224661+00:00,10623.968124389648,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:31:24.918537+00:00,9674.234867095947,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:32:34.389461+00:00,9474.449396133423,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:33:42.528839+00:00,8139.873027801514,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:34:51.886632+00:00,9350.647449493408,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:36:03.110658+00:00,11229.302167892456,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:37:11.047969+00:00,7916.977643966675,128,500,0.00031919999999999995,1274,128000,True,
gpt-4o-mini,2025-04-30T11:38:24.582684+00:00,10700.820922851562,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:39:38.513302+00:00,13904.117107391357,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:40:46.606997+00:00,8095.425128936768,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:41:56.680088+00:00,10068.035125732422,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:43:05.467167+00:00,8782.126665115356,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:44:13.551840+00:00,8091.933488845825,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:45:25.064073+00:00,11496.875286102295,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:48:36.266960+00:00,12305.160999298096,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:49:45.053743+00:00,8758.233308792114,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:50:57.021827+00:00,11947.826862335205,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:52:05.195786+00:00,8149.892807006836,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:53:13.492547+00:00,8283.808946609497,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:54:24.541483+00:00,11040.840148925781,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:55:34.637375+00:00,10082.874298095703,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:56:42.977631+00:00,8332.41605758667,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:57:53.885137+00:00,10889.771938323975,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T11:59:02.672340+00:00,8782.991409301758,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T12:00:12.214185+00:00,9512.299537658691,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T12:01:26.524694+00:00,14297.507524490356,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T12:02:38.115879+00:00,11581.013679504395,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T12:03:49.010134+00:00,10872.118473052979,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T12:04:59.850679+00:00,10821.245193481445,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-04-30T12:06:10.081106+00:00,10212.578773498535,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:50:59.448869+00:00,10536.751985549927,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:52:08.374671+00:00,8902.177095413208,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:53:19.594000+00:00,11207.83519744873,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:54:32.056549+00:00,12441.040515899658,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:55:44.054097+00:00,12019.188165664673,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:56:54.702633+00:00,10665.077209472656,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:58:03.626773+00:00,8932.634830474854,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:58:19.944403+00:00,9257.39336013794,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T12:59:30.000702+00:00,10043.184041976929,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:00:40.279351+00:00,10260.916709899902,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:01:56.460984+00:00,16172.526597976685,128,500,0.00031919999999999995,128000,True,
gpt-4o-mini,2025-05-06T13:03:07.129119+00:00,10662.134408950806,128,500,0.00031919999999999995,128000,True,
